Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Elsa Freire,F,Angola,ANG,1988,Seoul,Swimming,Swimming Women's 100 metres Freestyle,No medal
Elsa Freire,F,Angola,ANG,1988,Seoul,Swimming,Swimming Women's 100 metres Backstroke,No medal
Elsa Freire,F,Angola,ANG,1988,Seoul,Swimming,Swimming Women's 100 metres Butterfly,No medal
Jorge Gomes,M,Angola,ANG,1988,Seoul,Swimming,Swimming Men's 100 metres Butterfly,No medal
Manuel Gomes,M,Angola,ANG,1988,Seoul,Boxing,Boxing Men's Bantamweight,No medal
Jos Incio,M,Angola,ANG,1988,Seoul,Judo,Judo Men's Middleweight,No medal
Eugnio Katombi,M,Angola,ANG,1988,Seoul,Athletics,"Athletics Men's 1,500 metres",No medal
Pedro Lima,M,Angola,ANG,1988,Seoul,Swimming,Swimming Men's 50 metres Freestyle,No medal
Pedro Lima,M,Angola,ANG,1988,Seoul,Swimming,Swimming Men's 100 metres Freestyle,No medal
Pedro Lima,M,Angola,ANG,1988,Seoul,Swimming,Swimming Men's 100 metres Butterfly,No medal
Ana Martins,F,Angola,ANG,1988,Seoul,Swimming,Swimming Women's 50 metres Freestyle,No medal
Ana Martins,F,Angola,ANG,1988,Seoul,Swimming,Swimming Women's 100 metres Breaststroke,No medal
Lotuala N'dombassy,M,Angola,ANG,1988,Seoul,Judo,Judo Men's Lightweight,No medal
Joo N'tyamba,M,Angola,ANG,1988,Seoul,Athletics,Athletics Men's 800 metres,No medal
Ado N'zuzi,M,Angola,ANG,1988,Seoul,Boxing,Boxing Men's Welterweight,No medal
Moiss Torres,M,Angola,ANG,1988,Seoul,Judo,Judo Men's Half-Heavyweight,No medal
Joo Capindica,M,Angola,ANG,1992,Barcelona,Athletics,Athletics Men's 400 metres,No medal
Herlander Coimbra,M,Angola,ANG,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal
Ndia Cruz,F,Angola,ANG,1992,Barcelona,Swimming,Swimming Women's 100 metres Breaststroke,No medal
Jean-Jacques Conceio,M,Angola,ANG,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal
Victor Carvalho,M,Angola,ANG,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal
Jos Jess,M,Angola,ANG,1992,Barcelona,Judo,Judo Men's Lightweight,No medal
Francisco Souza,M,Angola,ANG,1992,Barcelona,Judo,Judo Men's Extra-Lightweight,No medal
Joo Souza,M,Angola,ANG,1992,Barcelona,Judo,Judo Men's Half-Middleweight,No medal
David Dias,M,Angola,ANG,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal
Antnio Santos,M,Angola,ANG,1992,Barcelona,Athletics,Athletics Men's Triple Jump,No medal
Ana Elias,F,Angola,ANG,1992,Barcelona,Athletics,"Athletics Women's 1,500 metres",No medal
Ana Elias,F,Angola,ANG,1992,Barcelona,Athletics,"Athletics Women's 3,000 metres",No medal
Afonso Ferraz,M,Angola,ANG,1992,Barcelona,Athletics,Athletics Men's 100 metres,No medal
Luvambu Filipe,M,Angola,ANG,1992,Barcelona,Sailing,Sailing Men's Two Person Dinghy,No medal
Elsa Freire,F,Angola,ANG,1992,Barcelona,Swimming,Swimming Women's 50 metres Freestyle,No medal
Elsa Freire,F,Angola,ANG,1992,Barcelona,Swimming,Swimming Women's 100 metres Freestyle,No medal
Elsa Freire,F,Angola,ANG,1992,Barcelona,Swimming,Swimming Women's 100 metres Butterfly,No medal
Eliseu Ganda,M,Angola,ANG,1992,Barcelona,Sailing,Sailing Men's Two Person Dinghy,No medal
Jos Guimares,M,Angola,ANG,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal
Pedro Lima,M,Angola,ANG,1992,Barcelona,Swimming,Swimming Men's 50 metres Freestyle,No medal
Pedro Lima,M,Angola,ANG,1992,Barcelona,Swimming,Swimming Men's 100 metres Butterfly,No medal
Paulo Macedo,M,Angola,ANG,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal
Francisco Moniz,M,Angola,ANG,1992,Barcelona,Boxing,Boxing Men's Welterweight,No medal
Anbal Moreira,M,Angola,ANG,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal
Joo Neto,M,Angola,ANG,1992,Barcelona,Sailing,Sailing Men's One Person Dinghy,No medal
Joo N'tyamba,M,Angola,ANG,1992,Barcelona,Athletics,Athletics Men's 800 metres,No medal
Joo N'tyamba,M,Angola,ANG,1992,Barcelona,Athletics,"Athletics Men's 1,500 metres",No medal
Benjamim Romano,M,Angola,ANG,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal
Nelson Sardinha,M,Angola,ANG,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal
Manuel Sousa,M,Angola,ANG,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal
Moiss Torres,M,Angola,ANG,1992,Barcelona,Judo,Judo Men's Half-Heavyweight,No medal
Benjamim Ucuahamba,M,Angola,ANG,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal
ngelo Victoriano,M,Angola,ANG,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal
Luzia Bizerra,F,Angola,ANG,1996,Atlanta,Handball,Handball Women's Handball,No medal
Herlander Coimbra,M,Angola,ANG,1996,Atlanta,Basketball,Basketball Men's Basketball,No medal
Domingas Cordeiro,F,Angola,ANG,1996,Atlanta,Handball,Handball Women's Handball,No medal
Ndia Cruz,F,Angola,ANG,1996,Atlanta,Swimming,Swimming Women's 100 metres Breaststroke,No medal
Ndia Cruz,F,Angola,ANG,1996,Atlanta,Swimming,Swimming Women's 200 metres Breaststroke,No medal
Guilhermina Cruz,F,Angola,ANG,1996,Atlanta,Athletics,Athletics Women's 200 metres,No medal
Guilhermina Cruz,F,Angola,ANG,1996,Atlanta,Athletics,Athletics Women's 400 metres,No medal
Palmira Almeida,F,Angola,ANG,1996,Atlanta,Handball,Handball Women's Handball,No medal
Victor Carvalho,M,Angola,ANG,1996,Atlanta,Basketball,Basketball Men's Basketball,No medal
David Dias,M,Angola,ANG,1996,Atlanta,Basketball,Basketball Men's Basketball,No medal
Mria Eduardo,F,Angola,ANG,1996,Atlanta,Handball,Handball Women's Handball,No medal
Maura Faial,F,Angola,ANG,1996,Atlanta,Handball,Handball Women's Handball,No medal
Maria Gonalves,F,Angola,ANG,1996,Atlanta,Handball,Handball Women's Handball,No medal
Jos Guimares,M,Angola,ANG,1996,Atlanta,Basketball,Basketball Men's Basketball,No medal
Aa Joaquim,F,Angola,ANG,1996,Atlanta,Handball,Handball Women's Handball,No medal
Paulo Morais,M,Angola,ANG,1996,Atlanta,Shooting,Shooting Men's Trap,No medal
Anbal Moreira,M,Angola,ANG,1996,Atlanta,Basketball,Basketball Men's Basketball,No medal
Anica Neto,F,Angola,ANG,1996,Atlanta,Handball,Handball Women's Handball,No medal
Joo N'tyamba,M,Angola,ANG,1996,Atlanta,Athletics,"Athletics Men's 1,500 metres",No medal
Lia Paulo,F,Angola,ANG,1996,Atlanta,Handball,Handball Women's Handball,No medal
Elisa Peres,F,Angola,ANG,1996,Atlanta,Handball,Handball Women's Handball,No medal
Justina Praa,F,Angola,ANG,1996,Atlanta,Handball,Handball Women's Handball,No medal
Benjamim Romano,M,Angola,ANG,1996,Atlanta,Basketball,Basketball Men's Basketball,No medal
Filomena Trindade,F,Angola,ANG,1996,Atlanta,Handball,Handball Women's Handball,No medal
Honorato Trosso,M,Angola,ANG,1996,Atlanta,Basketball,Basketball Men's Basketball,No medal
Benjamim Ucuahamba,M,Angola,ANG,1996,Atlanta,Basketball,Basketball Men's Basketball,No medal
ngelo Victoriano,M,Angola,ANG,1996,Atlanta,Basketball,Basketball Men's Basketball,No medal
Edmar Victoriano,M,Angola,ANG,1996,Atlanta,Basketball,Basketball Men's Basketball,No medal
Justino Victoriano,M,Angola,ANG,1996,Atlanta,Basketball,Basketball Men's Basketball,No medal
Elisa Webba-torres,F,Angola,ANG,1996,Atlanta,Handball,Handball Women's Handball,No medal
Joo Aguiar,M,Angola,ANG,2000,Sydney,Swimming,Swimming Men's 50 metres Freestyle,No medal
Carlos Almeida,M,Angola,ANG,2000,Sydney,Basketball,Basketball Men's Basketball,No medal
Ilda Bengue,F,Angola,ANG,2000,Sydney,Handball,Handball Women's Handball,No medal
Regina Camumbila,F,Angola,ANG,2000,Sydney,Handball,Handball Women's Handball,No medal
Belarmino Chipongue,M,Angola,ANG,2000,Sydney,Basketball,Basketball Men's Basketball,No medal
Herlander Coimbra,M,Angola,ANG,2000,Sydney,Basketball,Basketball Men's Basketball,No medal
Domingas Cordeiro,F,Angola,ANG,2000,Sydney,Handball,Handball Women's Handball,No medal
Ndia Cruz,F,Angola,ANG,2000,Sydney,Swimming,Swimming Women's 100 metres Breaststroke,No medal
Victor Carvalho,M,Angola,ANG,2000,Sydney,Basketball,Basketball Men's Basketball,No medal
Joo Silva,M,Angola,ANG,2000,Sydney,Shooting,Shooting Men's Trap,No medal
Delfina Cassinda,F,Angola,ANG,2000,Sydney,Athletics,Athletics Women's 800 metres,No medal
David Dias,M,Angola,ANG,2000,Sydney,Basketball,Basketball Men's Basketball,No medal
Garcia Domingos,M,Angola,ANG,2000,Sydney,Basketball,Basketball Men's Basketball,No medal
Maura Faial,F,Angola,ANG,2000,Sydney,Handball,Handball Women's Handball,No medal
Maria Jololo,F,Angola,ANG,2000,Sydney,Handball,Handball Women's Handball,No medal
Buila Katiavala,M,Angola,ANG,2000,Sydney,Basketball,Basketball Men's Basketball,No medal
Marcelina Kiala,F,Angola,ANG,2000,Sydney,Handball,Handball Women's Handball,No medal
Miguel Lutonda,M,Angola,ANG,2000,Sydney,Basketball,Basketball Men's Basketball,No medal
Anbal Moreira,M,Angola,ANG,2000,Sydney,Basketball,Basketball Men's Basketball,No medal
Ivone Mufuca,F,Angola,ANG,2000,Sydney,Handball,Handball Women's Handball,No medal
Victor Muzadi,M,Angola,ANG,2000,Sydney,Basketball,Basketball Men's Basketball,No medal
Anica Neto,F,Angola,ANG,2000,Sydney,Handball,Handball Women's Handball,No medal
Joo N'tyamba,M,Angola,ANG,2000,Sydney,Athletics,Athletics Men's Marathon,No medal
Justina Praa,F,Angola,ANG,2000,Sydney,Handball,Handball Women's Handball,No medal
Maria Tavares,F,Angola,ANG,2000,Sydney,Handball,Handball Women's Handball,No medal
Filomena Trindade,F,Angola,ANG,2000,Sydney,Handball,Handball Women's Handball,No medal
Teresa Ulundo,F,Angola,ANG,2000,Sydney,Handball,Handball Women's Handball,No medal
ngelo Victoriano,M,Angola,ANG,2000,Sydney,Basketball,Basketball Men's Basketball,No medal
Edmar Victoriano,M,Angola,ANG,2000,Sydney,Basketball,Basketball Men's Basketball,No medal
Elisa Webba-torres,F,Angola,ANG,2000,Sydney,Handball,Handball Women's Handball,No medal
Carlos Almeida,M,Angola,ANG,2004,Athina,Basketball,Basketball Men's Basketball,No medal
Nair Almeida,F,Angola,ANG,2004,Athina,Handball,Handball Women's Handball,No medal
Rosa Amaral,F,Angola,ANG,2004,Athina,Handball,Handball Women's Handball,No medal
Neyde Barbosa,F,Angola,ANG,2004,Athina,Handball,Handball Women's Handball,No medal
Ilda Bengue,F,Angola,ANG,2004,Athina,Handball,Handball Women's Handball,No medal
Olmpio Cipriano,M,Angola,ANG,2004,Athina,Basketball,Basketball Men's Basketball,No medal
Walter Costa,M,Angola,ANG,2004,Athina,Basketball,Basketball Men's Basketball,No medal
Victor Carvalho,M,Angola,ANG,2004,Athina,Basketball,Basketball Men's Basketball,No medal
Isabel Fernandes,F,Angola,ANG,2004,Athina,Handball,Handball Women's Handball,No medal
Joaquim Gomes,M,Angola,ANG,2004,Athina,Basketball,Basketball Men's Basketball,No medal
Maria Jololo,F,Angola,ANG,2004,Athina,Handball,Handball Women's Handball,No medal
Lusa Kiala,F,Angola,ANG,2004,Athina,Handball,Handball Women's Handball,No medal
Belina Larica,F,Angola,ANG,2004,Athina,Handball,Handball Women's Handball,No medal
Miguel Lutonda,M,Angola,ANG,2004,Athina,Basketball,Basketball Men's Basketball,No medal
Joo Matias,M,Angola,ANG,2004,Athina,Swimming,Swimming Men's 100 metres Butterfly,No medal
Eduardo Mingas,M,Angola,ANG,2004,Athina,Basketball,Basketball Men's Basketball,No medal
Valter Monteiro,M,Angola,ANG,2004,Athina,Basketball,Basketball Men's Basketball,No medal
Antnia Fatima,F,Angola,ANG,2004,Athina,Judo,Judo Women's Middleweight,No medal
Abdel Moussa,M,Angola,ANG,2004,Athina,Basketball,Basketball Men's Basketball,No medal
Victor Muzadi,M,Angola,ANG,2004,Athina,Basketball,Basketball Men's Basketball,No medal
Anica Neto,F,Angola,ANG,2004,Athina,Handball,Handball Women's Handball,No medal
Joo N'tyamba,M,Angola,ANG,2004,Athina,Athletics,Athletics Men's Marathon,No medal
Mria Pedro,F,Angola,ANG,2004,Athina,Handball,Handball Women's Handball,No medal
Dionisia Pio,F,Angola,ANG,2004,Athina,Handball,Handball Women's Handball,No medal
Elzira Barros,F,Angola,ANG,2004,Athina,Handball,Handball Women's Handball,No medal
Maria Tavares,F,Angola,ANG,2004,Athina,Handball,Handball Women's Handball,No medal
Filomena Trindade,F,Angola,ANG,2004,Athina,Handball,Handball Women's Handball,No medal
ngelo Victoriano,M,Angola,ANG,2004,Athina,Basketball,Basketball Men's Basketball,No medal
Edmar Victoriano,M,Angola,ANG,2004,Athina,Basketball,Basketball Men's Basketball,No medal
Elisa Webba-torres,F,Angola,ANG,2004,Athina,Handball,Handball Women's Handball,No medal
Morais Abreu,M,Angola,ANG,2008,Beijing,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,No medal
Carlos Almeida,M,Angola,ANG,2008,Beijing,Basketball,Basketball Men's Basketball,No medal
Nair Almeida,F,Angola,ANG,2008,Beijing,Handball,Handball Women's Handball,No medal
Felizardo Ambrsio,M,Angola,ANG,2008,Beijing,Basketball,Basketball Men's Basketball,No medal
Milton Barros,M,Angola,ANG,2008,Beijing,Basketball,Basketball Men's Basketball,No medal
Ilda Bengue,F,Angola,ANG,2008,Beijing,Handball,Handball Women's Handball,No medal
Natlia Bernardo,F,Angola,ANG,2008,Beijing,Handball,Handball Women's Handball,No medal
Elisabeth Cailo,F,Angola,ANG,2008,Beijing,Handball,Handball Women's Handball,No medal
Bombo Calandula,F,Angola,ANG,2008,Beijing,Handball,Handball Women's Handball,No medal
Azenaide Carlos,F,Angola,ANG,2008,Beijing,Handball,Handball Women's Handball,No medal
Olmpio Cipriano,M,Angola,ANG,2008,Beijing,Basketball,Basketball Men's Basketball,No medal
Armando Costa,M,Angola,ANG,2008,Beijing,Basketball,Basketball Men's Basketball,No medal
Lus Costa,M,Angola,ANG,2008,Beijing,Basketball,Basketball Men's Basketball,No medal
Wuta Dombaxi,F,Angola,ANG,2008,Beijing,Handball,Handball Women's Handball,No medal
Mria Eduardo,F,Angola,ANG,2008,Beijing,Handball,Handball Women's Handball,No medal
Emanuel Fernandes,M,Angola,ANG,2008,Beijing,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,No medal
Isabel Fernandes,F,Angola,ANG,2008,Beijing,Handball,Handball Women's Handball,No medal
Joaquim Gomes,M,Angola,ANG,2008,Beijing,Basketball,Basketball Men's Basketball,No medal
Vladimir Jeronimo,M,Angola,ANG,2008,Beijing,Basketball,Basketball Men's Basketball,No medal
Lusa Kiala,F,Angola,ANG,2008,Beijing,Handball,Handball Women's Handball,No medal
Joo Matias,M,Angola,ANG,2008,Beijing,Swimming,Swimming Men's 100 metres Butterfly,No medal
Eduardo Mingas,M,Angola,ANG,2008,Beijing,Basketball,Basketball Men's Basketball,No medal
Carlos Morais,M,Angola,ANG,2008,Beijing,Basketball,Basketball Men's Basketball,No medal
Abdel Moussa,M,Angola,ANG,2008,Beijing,Basketball,Basketball Men's Basketball,No medal
Joo N'tyamba,M,Angola,ANG,2008,Beijing,Athletics,Athletics Men's Marathon,No medal
Fortunato Pacavira,M,Angola,ANG,2008,Beijing,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",No medal
Fortunato Pacavira,M,Angola,ANG,2008,Beijing,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",No medal
Leonel Paulo,M,Angola,ANG,2008,Beijing,Basketball,Basketball Men's Basketball,No medal
Mria Pedro,F,Angola,ANG,2008,Beijing,Handball,Handball Women's Handball,No medal
Ana Romero,F,Angola,ANG,2008,Beijing,Swimming,Swimming Women's 50 metres Freestyle,No medal
Maria Tavares,F,Angola,ANG,2008,Beijing,Handball,Handball Women's Handball,No medal
Filomena Trindade,F,Angola,ANG,2008,Beijing,Handball,Handball Women's Handball,No medal
Elizabeth Viegas,F,Angola,ANG,2008,Beijing,Handball,Handball Women's Handball,No medal
Nair Almeida,F,Angola,ANG,2012,London,Handball,Handball Women's Handball,No medal
Manuel Antonio,M,Angola,ANG,2012,London,Athletics,Athletics Men's 800 metres,No medal
Neyde Barbosa,F,Angola,ANG,2012,London,Handball,Handball Women's Handball,No medal
Ana Barros,F,Angola,ANG,2012,London,Handball,Handball Women's Handball,No medal
Natlia Bernardo,F,Angola,ANG,2012,London,Handball,Handball Women's Handball,No medal
Cristina Branco,F,Angola,ANG,2012,London,Handball,Handball Women's Handball,No medal
Catarina Camufal,F,Angola,ANG,2012,London,Basketball,Basketball Women's Basketball,No medal
ngela Cardoso,F,Angola,ANG,2012,London,Basketball,Basketball Women's Basketball,No medal
Azenaide Carlos,F,Angola,ANG,2012,London,Handball,Handball Women's Handball,No medal
Felismina Cavela,F,Angola,ANG,2012,London,Athletics,Athletics Women's 800 metres,No medal
Magda Cazanga,F,Angola,ANG,2012,London,Handball,Handball Women's Handball,No medal
Fineza Eusbio,F,Angola,ANG,2012,London,Basketball,Basketball Women's Basketball,No medal
Madalena Felix,F,Angola,ANG,2012,London,Basketball,Basketball Women's Basketball,No medal
Isabel Fernandes,F,Angola,ANG,2012,London,Handball,Handball Women's Handball,No medal
Ngendua Filipe,F,Angola,ANG,2012,London,Basketball,Basketball Women's Basketball,No medal
Ana Gonalves,F,Angola,ANG,2012,London,Basketball,Basketball Women's Basketball,No medal
Snia Guadalupe,F,Angola,ANG,2012,London,Basketball,Basketball Women's Basketball,No medal
