NOC,Gold,Silver,Bronze,Total,Year
Italy,2,7,4,13,1976
Italy,8,3,4,15,1980
Italy,14,6,12,32,1984
Italy,6,4,4,14,1988
Italy,6,5,8,19,1992
Italy,13,10,12,35,1996
Italy,13,8,13,34,2000
Italy,10,11,11,32,2004
Italy,8,9,10,27,2008
Italy,8,9,11,28,2012
Italy,8,12,8,28,2016
Italy,10,10,20,40,2020
Italy,12,13,15,40,2024
Japan,0,2,0,2,1920
Japan,0,0,1,1,1924
Japan,2,2,1,5,1928
Japan,7,7,4,18,1932
Japan,6,4,10,20,1936
Japan,1,6,2,9,1952
Japan,4,10,5,19,1956
Japan,4,7,7,18,1960
Japan,16,5,8,29,1964
Japan,11,7,7,25,1968
Japan,13,8,8,29,1972
Japan,9,6,10,25,1976
Japan,10,8,14,32,1984
Japan,4,3,7,14,1988
Japan,3,8,11,22,1992
Japan,3,6,5,14,1996
Japan,5,8,5,18,2000
Japan,16,9,12,37,2004
Japan,9,8,8,25,2008
Japan,7,14,17,38,2012
Japan,12,8,21,41,2016
Japan,27,14,17,58,2020
Japan,20,12,13,45,2024
Netherlands,0,2,3,5,1900
Netherlands,0,0,2,2,1908
Netherlands,0,0,3,3,1912
Netherlands,4,2,5,11,1920
Netherlands,4,1,5,10,1924
Netherlands,6,9,4,19,1928
Netherlands,2,5,1,8,1932
Netherlands,6,4,7,17,1936
Netherlands,5,2,9,16,1948
Netherlands,0,5,0,5,1952
Netherlands,0,1,2,3,1960
Netherlands,2,4,4,10,1964
Netherlands,3,3,1,7,1968
Netherlands,3,1,1,5,1972
Netherlands,0,2,3,5,1976
Netherlands,0,1,2,3,1980
Netherlands,5,2,6,13,1984
Netherlands,2,2,5,9,1988
Netherlands,2,6,7,15,1992
Netherlands,4,5,10,19,1996
Netherlands,12,9,4,25,2000
Netherlands,4,9,9,22,2004
Netherlands,7,5,4,16,2008
Netherlands,6,6,8,20,2012
Netherlands,8,7,4,19,2016
Netherlands,10,12,14,36,2020
Netherlands,15,7,12,34,2024
SouthKorea,0,0,2,2,1948
SouthKorea,0,0,2,2,1952
SouthKorea,0,1,1,2,1956
SouthKorea,0,2,1,3,1964
SouthKorea,0,1,1,2,1968
SouthKorea,0,1,0,1,1972
SouthKorea,1,1,4,6,1976
SouthKorea,6,6,7,19,1984
SouthKorea,12,10,11,33,1988
SouthKorea,12,5,12,29,1992
SouthKorea,7,15,5,27,1996
SouthKorea,8,10,10,28,2000
SouthKorea,9,12,9,30,2004
SouthKorea,13,11,8,32,2008
SouthKorea,13,9,9,31,2012
SouthKorea,9,3,9,21,2016
SouthKorea,6,4,10,20,2020
SouthKorea,13,9,10,32,2024
UnitedStates,11,7,2,20,1896
UnitedStates,19,14,15,48,1900
UnitedStates,76,78,77,231,1904
UnitedStates,23,12,12,47,1908
UnitedStates,26,19,19,64,1912
UnitedStates,41,27,27,95,1920
UnitedStates,45,27,27,99,1924
UnitedStates,22,18,16,56,1928
UnitedStates,44,36,30,110,1932
UnitedStates,24,21,12,57,1936
UnitedStates,38,27,19,84,1948
UnitedStates,40,19,17,76,1952
UnitedStates,32,25,17,74,1956
UnitedStates,34,21,16,71,1960
UnitedStates,36,26,28,90,1964
UnitedStates,45,28,34,107,1968
UnitedStates,33,31,30,94,1972
UnitedStates,34,35,25,94,1976
UnitedStates,83,61,30,174,1984
UnitedStates,36,31,27,94,1988
UnitedStates,37,34,37,108,1992
UnitedStates,44,32,25,101,1996
UnitedStates,37,24,32,93,2000
UnitedStates,36,39,26,101,2004
UnitedStates,36,39,37,112,2008
UnitedStates,48,26,30,104,2012
UnitedStates,46,37,38,121,2016
UnitedStates,39,41,33,113,2020
UnitedStates,40,44,42,126,2024
