Team,Year,Sport,Bronze,Gold,No medal,Silver
Albania,2004,Weightlifting,0,0,2,0
Albania,2004,Wrestling,0,0,1,0
Albania,2008,Athletics,0,0,2,0
Albania,2008,Judo,0,0,1,0
Albania,2008,Shooting,0,0,2,0
Albania,2008,Swimming,0,0,2,0
Albania,2008,Weightlifting,0,0,3,0
Albania,2008,Wrestling,0,0,2,0
Albania,2012,Athletics,0,0,1,0
Albania,2012,Judo,0,0,1,0
Albania,2012,Shooting,0,0,2,0
Albania,2012,Swimming,0,0,2,0
Albania,2012,Weightlifting,0,0,4,0
Albania,2016,Athletics,0,0,2,0
Albania,2016,Swimming,0,0,2,0
Albania,2016,Weightlifting,0,0,2,0
Albania,2020,Artistic Gymnastics,0,0,1,0
Albania,2020,Athletics,0,0,2,0
Albania,2020,Judo,0,0,1,0
Albania,2020,Shooting,0,0,2,0
Albania,2020,Swimming,0,0,2,0
Albania,2020,Weightlifting,0,0,2,0
Albania,2024,Athletics,0,0,2,0
Albania,2024,Shooting,0,0,2,0
Albania,2024,Swimming,0,0,2,0
Albania,2024,Wrestling,2,0,1,0
Alcaid,1952,Sailing,0,0,3,0
Alcyon-6,1900,Sailing,0,0,1,0
Alcyon-7,1900,Sailing,0,0,2,0
Aldebaran,1964,Sailing,0,0,2,0
Aldebaran II,1960,Sailing,0,0,2,0
Aletta,1960,Sailing,0,0,3,0
Algeria,1964,Gymnastics,0,0,7,0
Algeria,1968,Boxing,0,0,2,0
Algeria,1968,Gymnastics,0,0,7,0
Algeria,1972,Athletics,0,0,6,0
Algeria,1972,Boxing,0,0,1,0
Algeria,1980,Athletics,0,0,13,0
Algeria,1980,Boxing,0,0,2,0
Algeria,1980,Fencing,0,0,1,0
Algeria,1980,Football,0,0,14,0
Algeria,1980,Handball,0,0,14,0
Algeria,1980,Judo,0,0,3,0
Algeria,1980,Swimming,0,0,10,0
Algeria,1980,Weightlifting,0,0,3,0
Algeria,1980,Wrestling,0,0,3,0
Algeria,1984,Athletics,0,0,9,0
Algeria,1984,Boxing,2,0,5,0
Algeria,1984,Handball,0,0,15,0
Algeria,1984,Weightlifting,0,0,2,0
Algeria,1988,Athletics,0,0,15,0
Algeria,1988,Boxing,0,0,6,0
Algeria,1988,Cycling,0,0,2,0
Algeria,1988,Handball,0,0,14,0
Algeria,1988,Judo,0,0,5,0
Algeria,1988,Tennis,0,0,1,0
Algeria,1988,Weightlifting,0,0,2,0
Algeria,1992,Athletics,0,1,8,0
Algeria,1992,Boxing,1,0,7,0
Algeria,1992,Judo,0,0,3,0
Algeria,1992,Swimming,0,0,2,0
Algeria,1992,Volleyball,0,0,10,0
Algeria,1992,Weightlifting,0,0,2,0
Algeria,1992,Wrestling,0,0,2,0
Algeria,1996,Athletics,0,1,7,0
Algeria,1996,Boxing,1,1,4,0
Algeria,1996,Fencing,0,0,2,0
Algeria,1996,Handball,0,0,16,0
Algeria,1996,Judo,0,0,6,0
Algeria,1996,Rowing,0,0,1,0
Algeria,1996,Swimming,0,0,3,0
Algeria,1996,Weightlifting,0,0,3,0
Algeria,1996,Wrestling,0,0,2,0
Algeria,2000,Athletics,2,1,19,1
Algeria,2000,Boxing,1,0,6,0
Algeria,2000,Fencing,0,0,2,0
Algeria,2000,Judo,0,0,7,0
Algeria,2000,Rowing,0,0,2,0
Algeria,2000,Swimming,0,0,4,0
Algeria,2000,Table Tennis,0,0,2,0
Algeria,2000,Trampolining,0,0,1,0
Algeria,2000,Weightlifting,0,0,1,0
Algeria,2000,Wrestling,0,0,2,0
Algeria,2004,Athletics,0,0,21,0
Algeria,2004,Boxing,0,0,7,0
Algeria,2004,Fencing,0,0,10,0
Algeria,2004,Judo,0,0,11,0
Algeria,2004,Rowing,0,0,1,0
Algeria,2004,Swimming,0,0,10,0
Algeria,2004,Table Tennis,0,0,7,0
Algeria,2004,Tennis,0,0,1,0
Algeria,2004,Weightlifting,0,0,2,0
Algeria,2004,Wrestling,0,0,1,0
Algeria,2008,Athletics,0,0,12,0
Algeria,2008,Badminton,0,0,1,0
Algeria,2008,Boxing,0,0,7,0
Algeria,2008,Cycling,0,0,1,0
Algeria,2008,Fencing,0,0,2,0
Algeria,2008,Judo,1,0,8,1
Algeria,2008,Rowing,0,0,3,0
Algeria,2008,Swimming,0,0,6,0
Algeria,2008,Table Tennis,0,0,1,0
Algeria,2008,Volleyball,0,0,10,0
Algeria,2008,Weightlifting,0,0,1,0
Algeria,2008,Wrestling,0,0,3,0
Algeria,2012,Athletics,0,1,6,0
Algeria,2012,Boxing,0,0,8,0
Algeria,2012,Cycling,0,0,1,0
Algeria,2012,Fencing,0,0,2,0
Algeria,2012,Judo,0,0,2,0
Algeria,2012,Rowing,0,0,1,0
Algeria,2012,Shooting,0,0,1,0
Algeria,2012,Swimming,0,0,1,0
Algeria,2012,Taekwondo,0,0,1,0
Algeria,2012,Volleyball,0,0,11,0
Algeria,2012,Weightlifting,0,0,1,0
Algeria,2012,Wrestling,0,0,3,0
Algeria,2016,Athletics,0,0,14,2
Algeria,2016,Boxing,0,0,8,0
Algeria,2016,Cycling,0,0,2,0
Algeria,2016,Fencing,0,0,2,0
Algeria,2016,Football,0,0,18,0
Algeria,2016,Gymnastics,0,0,10,0
Algeria,2016,Judo,0,0,5,0
Algeria,2016,Rowing,0,0,2,0
Algeria,2016,Sailing,0,0,3,0
Algeria,2016,Shooting,0,0,1,0
Algeria,2016,Swimming,0,0,2,0
Algeria,2016,Weightlifting,0,0,2,0
Algeria,2016,Wrestling,0,0,3,0
Algeria,2020,Athletics,0,0,5,0
Algeria,2020,Boxing,0,0,8,0
Algeria,2020,Canoe Sprint,0,0,2,0
Algeria,2020,Cycling Road,0,0,3,0
Algeria,2020,Fencing,0,0,4,0
Algeria,2020,Judo,0,0,2,0
Algeria,2020,Karate,0,0,1,0
Algeria,2020,Marathon Swimming,0,0,1,0
Algeria,2020,Rowing,0,0,2,0
Algeria,2020,Sailing,0,0,2,0
Algeria,2020,Shooting,0,0,1,0
Algeria,2020,Swimming,0,0,4,0
Algeria,2020,Table Tennis,0,0,1,0
Algeria,2020,Weightlifting,0,0,1,0
Algeria,2020,Wrestling,0,0,8,0
Algeria,2024,Artistic Gymnastics,0,1,5,0
Algeria,2024,Athletics,1,0,7,0
Algeria,2024,Badminton,0,0,2,0
Algeria,2024,Boxing,0,1,4,0
Algeria,2024,Canoe Slalom,0,0,2,0
Algeria,2024,Cycling Road,0,0,2,0
Algeria,2024,Fencing,0,0,8,0
Algeria,2024,Judo,0,0,3,0
Algeria,2024,Rowing,0,0,2,0
Algeria,2024,Sailing,0,0,1,0
Algeria,2024,Shooting,0,0,3,0
Algeria,2024,Swimming,0,0,2,0
Algeria,2024,Table Tennis,0,0,2,0
Algeria,2024,Weightlifting,0,0,1,0
Algeria,2024,Wrestling,0,0,8,0
Ali-Baba II,1948,Sailing,5,0,2,0
Ali-Baba IV,1952,Sailing,0,0,2,0
Ali-Baba IX,1964,Sailing,0,0,2,0
Ali-Baba VI,1960,Sailing,0,0,2,0
Allegro,1948,Sailing,0,0,3,0
Almaz,1964,Sailing,0,0,2,0
Aloha II,1924,Sailing,0,0,3,0
Aloha II,1948,Sailing,0,0,2,0
Amateur Athletic Association,1900,Athletics,0,5,0,0
American Samoa,1988,Athletics,0,0,1,0
American Samoa,1988,Boxing,0,0,2,0
American Samoa,1988,Weightlifting,0,0,2,0
American Samoa,1988,Wrestling,0,0,1,0
American Samoa,1992,Boxing,0,0,2,0
American Samoa,1992,Weightlifting,0,0,1,0
American Samoa,1996,Athletics,0,0,2,0
American Samoa,1996,Boxing,0,0,1,0
American Samoa,1996,Sailing,0,0,2,0
American Samoa,1996,Weightlifting,0,0,1,0
American Samoa,1996,Wrestling,0,0,1,0
American Samoa,2000,Archery,0,0,1,0
American Samoa,2000,Athletics,0,0,2,0
American Samoa,2000,Weightlifting,0,0,1,0
American Samoa,2004,Athletics,0,0,2,0
American Samoa,2004,Weightlifting,0,0,1,0
American Samoa,2008,Athletics,0,0,1,0
American Samoa,2008,Judo,0,0,1,0
American Samoa,2008,Swimming,0,0,2,0
American Samoa,2012,Athletics,0,0,1,0
American Samoa,2012,Judo,0,0,1,0
American Samoa,2012,Swimming,0,0,2,0
American Samoa,2016,Athletics,0,0,2,0
American Samoa,2016,Judo,0,0,1,0
American Samoa,2016,Weightlifting,0,0,1,0
American Samoa,2020,Athletics,0,0,1,0
American Samoa,2020,Sailing,0,0,2,0
American Samoa,2020,Swimming,0,0,2,0
American Samoa,2020,Weightlifting,0,0,1,0
American Samoa,2024,Athletics,0,0,1,0
American Samoa,2024,Swimming,0,0,1,0
Amolgavar,1924,Sailing,0,0,3,0
Amstel Amsterdam,1908,Rowing,4,0,0,0
Amulet-3,1900,Sailing,0,0,4,0
Amulet-7,1900,Sailing,0,0,2,0
Ancora,1920,Sailing,0,4,0,0
Andorinha,1948,Sailing,0,0,2,0
Andorra,1976,Boxing,0,0,1,0
Andorra,1976,Shooting,0,0,2,0
Andorra,1980,Shooting,0,0,2,0
Andorra,1984,Shooting,0,0,2,0
Andorra,1988,Athletics,0,0,2,0
Andorra,1988,Cycling,0,0,2,0
Andorra,1992,Athletics,0,0,1,0
Andorra,1992,Cycling,0,0,3,0
Andorra,1992,Judo,0,0,1,0
Andorra,1992,Sailing,0,0,2,0
Andorra,1992,Shooting,0,0,1,0
Andorra,1996,Athletics,0,0,1,0
Andorra,1996,Judo,0,0,1,0
Andorra,1996,Sailing,0,0,3,0
Andorra,1996,Shooting,0,0,1,0
Andorra,1996,Swimming,0,0,2,0
Andorra,2000,Athletics,0,0,2,0
Andorra,2000,Shooting,0,0,1,0
Andorra,2000,Swimming,0,0,2,0
Andorra,2004,Athletics,0,0,2,0
Andorra,2004,Judo,0,0,1,0
Andorra,2004,Shooting,0,0,1,0
Andorra,2004,Swimming,0,0,2,0
Andorra,2008,Athletics,0,0,2,0
Andorra,2008,Canoeing,0,0,1,0
Andorra,2008,Judo,0,0,1,0
Andorra,2008,Swimming,0,0,1,0
Andorra,2012,Athletics,0,0,2,0
Andorra,2012,Judo,0,0,1,0
Andorra,2012,Shooting,0,0,1,0
Andorra,2012,Swimming,0,0,2,0
Andorra,2016,Athletics,0,0,1,0
Andorra,2016,Judo,0,0,1,0
Andorra,2016,Shooting,0,0,1,0
Andorra,2016,Swimming,0,0,1,0
Andorra,2020,Athletics,0,0,1,0
Andorra,2020,Canoe Slalom,0,0,2,0
Andorra,2024,Athletics,0,0,1,0
Andorra,2024,Canoe Slalom,0,0,3,0
Andromeda,1964,Sailing,0,0,3,0
Angelita,1932,Sailing,0,12,0,0
Angelita,1936,Sailing,0,0,6,0
Angerburg,1936,Sailing,0,0,1,0
Angola,1980,Athletics,0,0,3,0
Angola,1980,Boxing,0,0,3,0
Angola,1980,Swimming,0,0,11,0
Angola,1988,Athletics,0,0,8,0
Angola,1988,Boxing,0,0,3,0
Angola,1988,Judo,0,0,7,0
Angola,1988,Swimming,0,0,15,0
Angola,1992,Athletics,0,0,7,0
Angola,1992,Basketball,0,0,12,0
Angola,1992,Boxing,0,0,1,0
Angola,1992,Judo,0,0,4,0
Angola,1992,Sailing,0,0,3,0
Angola,1992,Swimming,0,0,6,0
Angola,1996,Athletics,0,0,3,0
Angola,1996,Basketball,0,0,11,0
Angola,1996,Handball,0,0,13,0
Angola,1996,Shooting,0,0,1,0
Angola,1996,Swimming,0,0,2,0
Angola,2000,Athletics,0,0,2,0
Angola,2000,Basketball,0,0,12,0
Angola,2000,Handball,0,0,13,0
Angola,2000,Shooting,0,0,1,0
Angola,2000,Swimming,0,0,2,0
Angola,2004,Athletics,0,0,1,0
Angola,2004,Basketball,0,0,12,0
Angola,2004,Handball,0,0,15,0
Angola,2004,Judo,0,0,1,0
Angola,2004,Swimming,0,0,1,0
Angola,2008,Athletics,0,0,1,0
Angola,2008,Basketball,0,0,12,0
Angola,2008,Beach Volleyball,0,0,2,0
Angola,2008,Canoeing,0,0,2,0
Angola,2008,Handball,0,0,14,0
Angola,2008,Swimming,0,0,2,0
Angola,2012,Athletics,0,0,2,0
Angola,2012,Basketball,0,0,12,0
Angola,2012,Canoeing,0,0,4,0
Angola,2012,Handball,0,0,14,0
Angola,2012,Judo,0,0,1,0
Angola,2012,Swimming,0,0,2,0
Angola,2016,Athletics,0,0,2,0
Angola,2016,Handball,0,0,15,0
Angola,2016,Judo,0,0,1,0
Angola,2016,Rowing,0,0,2,0
Angola,2016,Sailing,0,0,3,0
Angola,2016,Shooting,0,0,1,0
Angola,2016,Swimming,0,0,2,0
Angola,2020,Athletics,0,0,1,0
Angola,2020,Handball,0,0,14,0
Angola,2020,Judo,0,0,1,0
Angola,2020,Sailing,0,0,2,0
Angola,2020,Swimming,0,0,2,0
Angola,2024,Athletics,0,0,1,0
Angola,2024,Canoe Sprint,0,0,3,0
Angola,2024,Handball,0,0,15,0
Angola,2024,Judo,0,0,1,0
Angola,2024,Rowing,0,0,1,0
Angola,2024,Sailing,0,0,3,0
Angola,2024,Swimming,0,0,2,0
Anitra,1936,Sailing,0,0,6,0
Antares,1948,Sailing,0,0,2,0
Antigua and Barbuda,1976,Athletics,0,0,14,0
Antigua and Barbuda,1976,Cycling,0,0,3,0
Antigua and Barbuda,1984,Athletics,0,0,22,0
Antigua and Barbuda,1984,Cycling,0,0,4,0
Antigua and Barbuda,1984,Sailing,0,0,1,0
Antigua and Barbuda,1988,Athletics,0,0,19,0
Antigua and Barbuda,1988,Boxing,0,0,2,0
Antigua and Barbuda,1988,Cycling,0,0,3,0
Antigua and Barbuda,1988,Sailing,0,0,1,0
Antigua and Barbuda,1992,Athletics,0,0,7,0
Antigua and Barbuda,1992,Cycling,0,0,6,0
Antigua and Barbuda,1992,Sailing,0,0,5,0
Antigua and Barbuda,1996,Athletics,0,0,14,0
Antigua and Barbuda,1996,Canoeing,0,0,3,0
Antigua and Barbuda,1996,Cycling,0,0,1,0
Antigua and Barbuda,1996,Sailing,0,0,1,0
Antigua and Barbuda,2000,Athletics,0,0,3,0
Antigua and Barbuda,2000,Sailing,0,0,1,0
Antigua and Barbuda,2004,Athletics,0,0,3,0
Antigua and Barbuda,2004,Swimming,0,0,2,0
Antigua and Barbuda,2008,Athletics,0,0,4,0
Antigua and Barbuda,2008,Swimming,0,0,1,0
Antigua and Barbuda,2012,Athletics,0,0,3,0
Antigua and Barbuda,2012,Swimming,0,0,1,0
Antigua and Barbuda,2016,Athletics,0,0,7,0
Antigua and Barbuda,2016,Swimming,0,0,2,0
Antigua and Barbuda,2020,Athletics,0,0,2,0
Antigua and Barbuda,2020,Boxing,0,0,1,0
Antigua and Barbuda,2020,Sailing,0,0,1,0
Antigua and Barbuda,2020,Swimming,0,0,2,0
Antigua and Barbuda,2024,Athletics,0,0,2,0
Antigua and Barbuda,2024,Sailing,0,0,1,0
Antigua and Barbuda,2024,Swimming,0,0,2,0
Antwerpia V,1920,Sailing,5,0,0,0
Antwerpia V,1924,Sailing,0,0,5,0
Apache,1948,Sailing,0,0,5,0
Aphrodite,1964,Sailing,3,0,0,0
Arcturus,1952,Sailing,0,0,2,0
Ardilla,1960,Sailing,0,0,3,0
Aretusa,1956,Sailing,0,0,3,0
Argentina,1900,Fencing,0,0,1,0
Argentina,1908,Figure Skating,0,0,1,0
Argentina,1920,Boxing,0,0,1,0
Argentina,1924,Athletics,0,0,15,1
Argentina,1924,Boxing,2,0,6,2
Argentina,1924,Cycling,0,0,14,0
Argentina,1924,Fencing,0,0,24,0
Argentina,1924,Polo,0,5,0,0
Argentina,1924,Rowing,0,0,9,0
Argentina,1924,Sailing,0,0,1,0
Argentina,1924,Shooting,0,0,8,0
Argentina,1924,Swimming,0,0,6,0
Argentina,1924,Tennis,0,0,4,0
Argentina,1924,Weightlifting,0,0,3,0
Argentina,1928,Athletics,0,0,12,0
Argentina,1928,Boxing,0,2,4,2
Argentina,1928,Cycling,0,0,10,0
Argentina,1928,Equestrianism,0,0,6,0
Argentina,1928,Fencing,5,0,4,0
Argentina,1928,Football,0,0,0,16
Argentina,1928,Rowing,0,0,9,0
Argentina,1928,Swimming,0,1,7,0
Argentina,1928,Water Polo,0,0,7,0
Argentina,1928,Weightlifting,0,0,3,0
Argentina,1928,Wrestling,0,0,5,0
Argentina,1932,Art Competitions,0,0,2,0
Argentina,1932,Athletics,0,1,17,0
Argentina,1932,Boxing,0,2,5,1
Argentina,1932,Fencing,0,0,9,0
Argentina,1932,Shooting,0,0,2,0
Argentina,1932,Swimming,0,0,7,0
Argentina,1932,Weightlifting,0,0,1,0
Argentina,1936,Athletics,0,0,17,0
Argentina,1936,Boxing,2,1,4,1
Argentina,1936,Fencing,0,0,19,0
Argentina,1936,Polo,0,4,0,0
Argentina,1936,Rowing,2,0,1,0
Argentina,1936,Shooting,0,0,5,0
Argentina,1936,Swimming,0,0,0,1
Argentina,1948,Athletics,0,1,36,1
Argentina,1948,Basketball,0,0,14,0
Argentina,1948,Boxing,1,2,5,0
Argentina,1948,Cycling,0,0,16,0
Argentina,1948,Equestrianism,0,0,18,0
Argentina,1948,Fencing,0,0,28,0
Argentina,1948,Gymnastics,0,0,55,0
Argentina,1948,Hockey,0,0,12,0
Argentina,1948,Modern Pentathlon,0,0,3,0
Argentina,1948,Rowing,0,0,26,0
Argentina,1948,Sailing,0,0,1,0
Argentina,1948,Shooting,0,0,11,1
Argentina,1948,Swimming,0,0,29,0
Argentina,1948,Water Polo,0,0,7,0
Argentina,1948,Weightlifting,0,0,8,0
Argentina,1948,Wrestling,0,0,8,0
Argentina,1952,Athletics,0,0,29,1
Argentina,1952,Basketball,0,0,14,0
Argentina,1952,Boxing,1,0,8,1
Argentina,1952,Cycling,0,0,6,0
Argentina,1952,Equestrianism,0,0,12,0
Argentina,1952,Fencing,0,0,20,0
Argentina,1952,Gymnastics,0,0,14,0
Argentina,1952,Modern Pentathlon,0,0,6,0
Argentina,1952,Rowing,0,2,7,0
Argentina,1952,Sailing,0,0,1,0
Argentina,1952,Shooting,0,0,7,0
Argentina,1952,Swimming,0,0,13,0
Argentina,1952,Water Polo,0,0,7,0
Argentina,1952,Weightlifting,1,0,4,0
Argentina,1952,Wrestling,0,0,7,0
Argentina,1956,Athletics,0,0,2,0
Argentina,1956,Boxing,1,0,9,0
Argentina,1956,Equestrianism,0,0,13,0
Argentina,1956,Fencing,0,0,2,0
Argentina,1956,Modern Pentathlon,0,0,1,0
Argentina,1956,Sailing,0,0,1,0
Argentina,1956,Shooting,0,0,4,0
Argentina,1956,Weightlifting,0,0,1,1
Argentina,1956,Wrestling,0,0,4,0
Argentina,1960,Athletics,0,0,4,0
Argentina,1960,Boxing,1,0,9,0
Argentina,1960,Cycling,0,0,9,0
Argentina,1960,Diving,0,0,1,0
Argentina,1960,Equestrianism,0,0,15,0
Argentina,1960,Fencing,0,0,9,0
Argentina,1960,Football,0,0,13,0
Argentina,1960,Gymnastics,0,0,7,0
Argentina,1960,Modern Pentathlon,0,0,6,0
Argentina,1960,Rowing,0,0,9,0
Argentina,1960,Sailing,0,0,1,0
Argentina,1960,Shooting,0,0,9,0
Argentina,1960,Swimming,0,0,4,0
Argentina,1960,Water Polo,0,0,7,0
Argentina,1960,Wrestling,0,0,4,0
Argentina,1964,Athletics,0,0,12,0
Argentina,1964,Boxing,0,0,10,0
Argentina,1964,Cycling,0,0,14,0
Argentina,1964,Equestrianism,0,0,14,1
Argentina,1964,Fencing,0,0,23,0
Argentina,1964,Football,0,0,14,0
Argentina,1964,Gymnastics,0,0,7,0
Argentina,1964,Judo,0,0,3,0
Argentina,1964,Rowing,0,0,12,0
Argentina,1964,Sailing,0,0,1,0
Argentina,1964,Shooting,0,0,8,0
Argentina,1964,Swimming,0,0,14,0
Argentina,1964,Weightlifting,0,0,2,0
Argentina,1964,Wrestling,0,0,8,0
Argentina,1968,Athletics,0,0,9,0
Argentina,1968,Boxing,1,0,6,0
Argentina,1968,Cycling,0,0,16,0
Argentina,1968,Equestrianism,0,0,14,0
Argentina,1968,Fencing,0,0,22,0
Argentina,1968,Hockey,0,0,18,0
Argentina,1968,Rowing,1,0,8,0
Argentina,1968,Sailing,0,0,6,0
Argentina,1968,Shooting,0,0,4,0
Argentina,1968,Swimming,0,0,20,0
Argentina,1968,Weightlifting,0,0,1,0
Argentina,1968,Wrestling,0,0,6,0
Argentina,1972,Athletics,0,0,10,0
Argentina,1972,Boxing,0,0,5,0
Argentina,1972,Cycling,0,0,9,0
Argentina,1972,Equestrianism,0,0,15,0
Argentina,1972,Fencing,0,0,13,0
Argentina,1972,Hockey,0,0,16,0
Argentina,1972,Judo,0,0,2,0
Argentina,1972,Rowing,0,0,18,1
Argentina,1972,Sailing,0,0,9,0
Argentina,1972,Shooting,0,0,5,0
Argentina,1972,Swimming,0,0,14,0
Argentina,1972,Wrestling,0,0,6,0
Argentina,1976,Athletics,0,0,2,0
Argentina,1976,Boxing,0,0,3,0
Argentina,1976,Cycling,0,0,8,0
Argentina,1976,Equestrianism,0,0,12,0
Argentina,1976,Fencing,0,0,16,0
Argentina,1976,Hockey,0,0,16,0
Argentina,1976,Judo,0,0,3,0
Argentina,1976,Rowing,0,0,10,0
Argentina,1976,Sailing,0,0,4,0
Argentina,1976,Shooting,0,0,6,0
Argentina,1976,Swimming,0,0,20,0
Argentina,1976,Wrestling,0,0,6,0
Argentina,1984,Athletics,0,0,9,0
Argentina,1984,Boxing,0,0,6,0
Argentina,1984,Canoeing,0,0,2,0
Argentina,1984,Cycling,0,0,12,0
Argentina,1984,Diving,0,0,2,0
Argentina,1984,Equestrianism,0,0,7,0
Argentina,1984,Fencing,0,0,22,0
Argentina,1984,Judo,0,0,4,0
Argentina,1984,Rowing,0,0,7,0
Argentina,1984,Sailing,0,0,8,0
Argentina,1984,Shooting,0,0,8,0
Argentina,1984,Swimming,0,0,12,0
Argentina,1984,Volleyball,0,0,10,0
Argentina,1984,Wrestling,0,0,6,0
Argentina,1988,Archery,0,0,2,0
Argentina,1988,Athletics,0,0,2,0
Argentina,1988,Boxing,0,0,4,0
Argentina,1988,Canoeing,0,0,10,0
Argentina,1988,Cycling,0,0,8,0
Argentina,1988,Diving,0,0,2,0
Argentina,1988,Fencing,0,0,3,0
Argentina,1988,Football,0,0,16,0
Argentina,1988,Hockey,0,0,31,0
Argentina,1988,Judo,0,0,3,0
Argentina,1988,Rowing,0,0,6,0
Argentina,1988,Sailing,0,0,11,0
Argentina,1988,Shooting,0,0,4,0
Argentina,1988,Swimming,0,0,6,0
Argentina,1988,Table Tennis,0,0,1,0
Argentina,1988,Tennis,0,0,8,1
Argentina,1988,Volleyball,12,0,0,0
Argentina,1988,Wrestling,0,0,4,0
Argentina,1992,Athletics,0,0,4,0
Argentina,1992,Boxing,0,0,3,0
Argentina,1992,Canoeing,0,0,7,0
Argentina,1992,Cycling,0,0,8,0
Argentina,1992,Diving,0,0,3,0
Argentina,1992,Fencing,0,0,5,0
Argentina,1992,Gymnastics,0,0,17,0
Argentina,1992,Hockey,0,0,16,0
Argentina,1992,Judo,0,0,9,0
Argentina,1992,Rowing,0,0,6,0
Argentina,1992,Sailing,0,0,7,0
Argentina,1992,Shooting,0,0,4,0
Argentina,1992,Swimming,0,0,6,0
Argentina,1992,Table Tennis,0,0,3,0
Argentina,1992,Tennis,2,0,8,0
Argentina,1992,Weightlifting,0,0,2,0
Argentina,1992,Wrestling,0,0,1,0
Argentina,1996,Athletics,0,0,9,0
Argentina,1996,Basketball,0,0,12,0
Argentina,1996,Beach Volleyball,0,0,2,0
Argentina,1996,Boxing,1,0,4,0
Argentina,1996,Canoeing,0,0,6,0
Argentina,1996,Cycling,0,0,11,0
Argentina,1996,Equestrianism,0,0,9,0
Argentina,1996,Fencing,0,0,7,0
Argentina,1996,Football,0,0,0,18
Argentina,1996,Gymnastics,0,0,12,0
Argentina,1996,Hockey,0,0,32,0
Argentina,1996,Judo,0,0,8,0
Argentina,1996,Rowing,0,0,22,0
Argentina,1996,Sailing,0,0,9,1
Argentina,1996,Shooting,0,0,10,0
Argentina,1996,Swimming,0,0,22,0
Argentina,1996,Tennis,0,0,10,0
Argentina,1996,Volleyball,0,0,12,0
Argentina,1996,Weightlifting,0,0,3,0
Argentina,1996,Wrestling,0,0,1,0
Argentina,2000,Athletics,0,0,11,0
Argentina,2000,Boxing,0,0,7,0
Argentina,2000,Canoeing,0,0,4,0
Argentina,2000,Cycling,0,0,10,0
Argentina,2000,Diving,0,0,1,0
Argentina,2000,Equestrianism,0,0,1,0
Argentina,2000,Fencing,0,0,3,0
Argentina,2000,Gymnastics,0,0,5,0
Argentina,2000,Hockey,0,0,16,16
Argentina,2000,Judo,0,0,9,0
Argentina,2000,Rowing,0,0,8,0
Argentina,2000,Sailing,3,0,7,1
Argentina,2000,Shooting,0,0,7,0
