Rank,NOC,Gold,Silver,Bronze,Total,Year
34,Iran,0,0,1,1,1948
41,Iraq,0,0,1,1,1960
24,Ireland,1,0,0,1,1928
48,Israel,0,1,1,2,1992
8,Italy,3,2,0,5,1900
33,IvoryCoast,0,1,0,1,1984
20,Jamaica,1,2,0,3,1948
17,Japan,0,2,0,2,1920
54,Jordan,1,0,0,1,2016
24,Kazakhstan,3,4,4,11,1996
35,Kenya,0,0,1,1,1964
54,Kosovo,1,0,0,1,2016
71,Kuwait,0,0,1,1,2000
71,Kyrgyzstan,0,0,1,1,2000
22,Latvia,0,1,0,1,1932
32,Lebanon,0,1,1,2,1952
34,Lithuania,1,0,1,2,1992
14,Luxembourg,1,0,0,1,1900
71,Macedonia,0,0,1,1,2000
54,Malaysia,0,0,1,1,1992
82,Mauritius,0,0,1,1,2008
21,Mexico,0,2,0,2,1932
11,Mixedteam,1,0,1,2,1896
58,Moldova,0,1,1,2,1996
34,Mongolia,0,1,3,4,1968
70,Montenegro,0,1,0,1,2012
32,Morocco,0,1,0,1,1960
71,Mozambique,0,0,1,1,1996
41,Namibia,0,2,0,2,1992
17,Netherlands,0,2,3,5,1900
36,NetherlandsAntilles,0,1,0,1,1988
22,NewZealand,0,0,1,1,1920
43,Niger,0,0,1,1,1972
35,Nigeria,0,0,1,1,1964
22,NorthKorea,1,1,3,5,1972
77,NorthMacedonia,0,1,0,1,2020
17,Norway,0,2,3,5,1900
31,Pakistan,0,1,0,1,1956
32,Panama,0,0,2,2,1948
65,Paraguay,0,1,0,1,2004
22,Peru,1,0,0,1,1948
32,Philippines,0,0,1,1,1928
22,Poland,0,1,1,2,1924
23,Portugal,0,0,1,1,1924
34,PuertoRico,0,0,1,1,1948
54,Qatar,0,0,1,1,1992
5,ROC,20,28,23,71,2020
84,RefugeeOlympicTeam,0,0,1,1,2024
23,Romania,0,0,1,1,1924
2,Russia,26,21,16,63,1996
12,RussianEmpire,1,2,0,3,1908
55,SaintLucia,1,1,0,2,2024
72,Samoa,0,1,0,1,2008
72,SanMarino,0,1,2,3,2020
61,SaudiArabia,0,1,1,2,2000
36,Senegal,0,1,0,1,1988
64,Serbia,0,1,2,3,2008
61,SerbiaandMontenegro,0,2,0,2,2004
32,Singapore,0,1,0,1,1960
43,Slovakia,1,1,1,3,1996
52,Slovenia,0,0,2,2,1992
14,SouthAfrica,1,1,0,2,1908
32,SouthKorea,0,0,2,2,1948
2,SovietUnion,22,30,19,71,1952
14,Spain,1,0,0,1,1900
64,SriLanka,0,1,0,1,2000
72,Sudan,0,1,0,1,2008
29,Suriname,1,0,0,1,1988
21,Sweden,0,0,1,1,1900
10,Switzerland,1,2,0,3,1896
33,Syria,0,1,0,1,1984
42,Taiwan,0,0,1,1,1968
68,Tajikistan,0,1,1,2,2008
28,Tanzania,0,2,0,2,1980
37,Thailand,0,0,1,1,1976
82,Togo,0,0,1,1,2008
61,Tonga,0,1,0,1,1996
28,TrinidadandTobago,0,1,0,1,1948
29,Tunisia,0,1,1,2,1964
19,Turkey,1,0,1,2,1936
77,Turkmenistan,0,1,0,1,2020
36,Uganda,0,1,1,2,1968
9,Ukraine,9,2,12,23,1996
1,UnifiedTeam,45,38,29,112,1992
54,UnitedArabEmirates,1,0,0,1,2004
1,UnitedStates,11,7,2,20,1896
7,UnitedTeamofGermany,6,13,7,26,1956
19,Uruguay,1,0,0,1,1924
58,Uzbekistan,0,1,1,2,1996
40,Venezuela,0,0,1,1,1952
64,Vietnam,0,1,0,1,2000
36,VirginIslands,0,1,0,1,1988
8,WestGermany,5,11,10,26,1968
14,Yugoslavia,2,0,0,2,1924
43,Zambia,0,0,1,1,1984
23,Zimbabwe,1,0,0,1,1980
